campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2016,-2,True,2618,74.026
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2017,-1,True,2618,74.3697
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2018,0,True,2618,74.3697
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2019,1,True,2618,72.0779
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2020,2,True,2618,71.9251
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2021,3,True,2618,75.6684
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2022,4,True,2618,75.0191
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2023,5,True,2618,72.1161
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2024,6,True,2618,76.4324
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2015,-3,False,874,52.2883
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2016,-2,False,874,49.4279
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2017,-1,False,874,55.1487
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2018,0,False,874,50.5721
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2019,1,False,874,45.881
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2020,2,False,874,45.4233
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2021,3,False,874,59.1533
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2022,4,False,874,48.3982
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2023,5,False,874,44.508
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0-0.5km,landsat,2024,6,False,874,49.4279
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2015,-3,False,2611,33.7802
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2016,-2,False,2611,31.4822
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2017,-1,False,2610,35.4789
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2018,0,False,2605,35.8925
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2019,1,False,2611,29.8736
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2020,2,False,2610,29.387
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2021,3,False,2610,48.5441
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2022,4,False,2611,32.7078
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2023,5,False,2611,30.8311
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2024,6,False,2611,34.0483
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2016,-3,True,855,46.3158
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2017,-2,True,855,50.9942
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2018,-1,True,855,51.462
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2019,0,True,855,50.8772
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2020,1,True,855,49.5906
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2021,2,True,855,53.5673
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2022,3,True,855,51.2281
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2023,4,True,855,48.4211
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,2024,5,True,855,50.2924
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2016,-3,True,2609,44.1165
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2017,-2,True,2609,46.3013
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2018,-1,True,2609,44.2315
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2019,0,True,2609,46.6079
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2020,1,True,2598,47.729
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2021,2,True,2608,50.7285
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2022,3,True,2609,52.0889
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2023,4,True,2609,51.0157
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2024,5,True,2609,52.9705
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2016,-3,False,875,18.9714
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2017,-2,False,875,24.2286
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2018,-1,False,875,31.4286
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2019,0,False,875,32.9143
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2020,1,False,875,27.7714
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2021,2,False,875,36.8
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2022,3,False,875,24.6857
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2023,4,False,875,23.7714
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2024,5,False,875,44.6857
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2016,-3,False,2628,32.1157
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2017,-2,False,2628,34.6651
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2018,-1,False,2628,34.0563
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2019,0,False,2628,29.9848
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2020,1,False,2628,31.3927
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2021,2,False,2628,41.933
