zona,n_campi_com_horizonte_longo,n_positivo_em_t_maior_igual_4,p_unilateral,mediana_curto_prazo_t1_a_t3_pp,mediana_longo_prazo_t4_mais_pp,leitura
0-0.5km,9,4,0.7461,1.157,-1.1397,"INCONCLUSIVO — com n=9 nenhuma das duas leituras atinge significancia (p=0.75); a mediana aponta para (B), sem sustentacao"
0.5-1km,9,5,0.5,1.2276,3.2756,"INCONCLUSIVO — com n=9 nenhuma das duas leituras atinge significancia (p=0.50); a mediana aponta para (A), sem sustentacao"
