campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,3,solo_exposto_obras,2.2807,1.2865,-0.9942
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,4,construida_urbana,48.655,52.3977,3.7427
ascenty-jundiai,ascenty-jundiai,tratamento,0-0.5km,landsat,5,agua,0.0585,0.0,-0.0585
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,1,vegetacao_densa,11.7478,12.0182,0.2704
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,2,vegetacao_rala,41.6251,33.9662,-7.659
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,3,solo_exposto_obras,0.8624,2.2235,1.3611
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,4,construida_urbana,45.2089,51.4087,6.1998
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,landsat,5,agua,0.5558,0.3834,-0.1724
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,1,vegetacao_densa,11.3714,11.0857,-0.2857
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2,vegetacao_rala,66.9714,57.9429,-9.0286
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,0.0571,0.2286,0.1714
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,4,construida_urbana,21.6,30.7429,9.1429
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,5,agua,0.0,0.0,0.0
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,1,vegetacao_densa,17.9414,18.3219,0.3805
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2,vegetacao_rala,48.554,44.1781,-4.376
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,3,solo_exposto_obras,0.0571,0.1332,0.0761
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,4,construida_urbana,33.3904,37.3668,3.9764
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,5,agua,0.0571,0.0,-0.0571
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,1,vegetacao_densa,0.934,0.2309,-0.703
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2,vegetacao_rala,14.2557,6.582,-7.6737
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,3,solo_exposto_obras,3.9697,5.0231,1.0533
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,4,construida_urbana,80.8406,88.164,7.3234
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,5,agua,0.0,0.0,0.0
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,1,vegetacao_densa,8.1945,2.3656,-5.8289
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2,vegetacao_rala,34.2922,31.056,-3.2362
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,3,solo_exposto_obras,1.003,1.1355,0.1325
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,4,construida_urbana,56.3399,65.4428,9.103
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,5,agua,0.1703,0.0,-0.1703
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,1,vegetacao_densa,46.8326,49.6606,2.8281
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2,vegetacao_rala,38.8575,39.7059,0.8484
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,3,solo_exposto_obras,0.9615,0.3959,-0.5656
