campus_id,lat,lon,dist_km,l1_dw,ano_referencia
exp-odata-sp01,-23.3875350188145,-46.7878237599225,15,0.4856,2015
exp-odata-sp01,-23.550388683437994,-47.01916067049996,15,0.4015,2015
exp-odata-sp01,-23.52243311344091,-47.042519272344975,15,0.4583,2015
exp-odata-sp01,-23.489885643121287,-47.05718190640874,15,0.5447,2015
exp-odata-sp01,-23.454966840817995,-47.06215487477658,15,0.4264,2015
exp-odata-sp01,-23.3247294446128,-46.95312795970608,15,0.7476,2015
exp-odata-sp01,-23.33415649077089,-46.78352002641054,19,0.3522,2015
exp-odata-sp01,-23.36951742675757,-46.75390362921638,19,0.2063,2015
exp-odata-sp01,-23.41070799845901,-46.73525208813413,19,0.1861,2015
exp-odata-sp01,-23.620077124687427,-46.96337492283425,19,0.1824,2015
exp-odata-sp01,-23.602986737006404,-47.00834183178489,19,0.1477,2015
exp-odata-sp01,-23.57580444480847,-47.046933927957355,19,0.3679,2015
exp-odata-sp01,-23.54038823463566,-47.07651803503035,19,0.4168,2015
exp-odata-sp01,-23.499157199575173,-47.095081359606354,19,0.5058,2015
exp-odata-sp01,-23.454925193724648,-47.10136774323655,19,0.4272,2015
exp-odata-sp01,-23.41070799845901,-47.094960854256556,19,0.3837,2015
exp-odata-sp01,-23.36951742675757,-47.07630931317436,19,0.562,2015
exp-odata-sp01,-23.33415649077089,-47.0466929159802,19,0.6558,2015
exp-odata-sp01,-23.307029473001275,-47.008133108651236,19,0.799,2015
exp-odata-sp01,-23.28997954916369,-46.96325441620684,19,0.859,2015
exp-odata-sp01,-23.24819177297779,-46.91510647119537,23,0.5063,2015
exp-odata-sp01,-23.351492524677,-46.71999271747444,23,0.13,2015
exp-odata-sp01,-23.401349609975718,-46.69740338386583,23,0.3387,2015
exp-odata-sp01,-23.661879711700404,-46.91510647119537,23,0.5534,2015
exp-odata-sp01,-23.654820777131505,-46.973552174350516,23,0.4261,2015
exp-odata-sp01,-23.634127223079254,-47.02799710059071,23,0.1801,2015
exp-odata-sp01,-23.601215269153304,-47.074717938930235,23,0.3628,2015
exp-odata-sp01,-23.558335966760655,-47.11052608026455,23,0.3295,2015
exp-odata-sp01,-23.508419587706364,-47.13298614361281,23,0.2748,2015
exp-odata-sp01,-23.454873747365465,-47.140580584053055,23,0.4798,2015
exp-odata-sp01,-23.401349609975718,-47.13280955852491,23,0.4777,2015
exp-odata-sp01,-23.351492524677,-47.11022022491625,23,0.563,2015
exp-odata-sp01,-23.30869421951113,-47.074364766010945,23,0.4935,2015
