campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
br-0001,BR,-23.57126425,-46.61943725,2,Data Center Marechal Rondon,Brazilian Army,Sao Paulo,,2015.0,datacentermap,declarada_datacentermap,False,True,2.121098892414387,0.0,0.0,97.53846370705077,0.3404374005348559,32.00320775428005,32.3580660424157,-0.35485828813565234,,
br-0002,BR,-22.70650052424456,-43.23743247257072,1,ADA Rio de Janeiro,Ada Infrastructure,Duque de Caxias,,,datacentermap,,False,False,52.04565115033174,18.094576254196653,0.0,29.85977259547161,0.0,32.10883863996565,30.776419347435898,1.3324192925297496,,
br-0003,BR,-30.016501955502555,-51.20388801034021,10,Adentro DC Porto Alegre,ADENTRO DATA CENTER SOLUTIONS LTDA,Porto Alegre,Rio Grande do Sul,2023.0,datacentermap,declarada_datacentermap,True,True,0.0,0.0,0.0,100.0,0.0,38.142548191916326,32.06044866685454,6.0820995250617855,,
br-0004,BR,-18.9209149,-48.3090492,1,Algar Tech Uberlandia - Jaraguá,Algar Tech,Uberlandia,MG,,datacentermap,,False,False,3.6550191210859007,8.686148272782237,0.1794055113086884,87.47942709482317,0.0,33.886234462567685,32.74099384019334,1.1452406223743452,,
br-0005,BR,-18.8725131,-48.2451629,1,Algar Tech Uberlandia - Granja Marileusa,Algar Tech,Uberlandia,Minas Gerais,,datacentermap,,False,False,22.979313056197707,26.860666131733193,1.8011481229357753,48.35887268913332,0.0,32.46248006199355,32.80313402184467,-0.34065395985111735,,
br-0006,BR,-22.799210861157988,-43.35303072747805,11,ODATA RJ01,"ODATA, an Aligned Data Centers Company",São João de Meriti,,2017.0,datacentermap+osm,declarada_datacentermap,True,True,1.6092074238573506,0.13402314638888202,2.4922866675266073,95.76448276222717,0.0,36.205383399439995,34.0300242036111,2.1753591958288965,,
br-0007,BR,-23.45409941058477,-46.91251924279884,4,ODATA SP01,"ODATA, an Aligned Data Centers Company","Votuparim, Santana de Parnaíba",,2017.0,datacentermap+osm,declarada_datacentermap,False,True,37.65796893360036,18.87267415713186,0.8079932936672267,31.77398067315195,10.887382942448603,28.260007545472057,27.402825024880187,0.85718252059187,,
br-0008,BR,-22.89765332853932,-47.18764527108291,13,ODATA SP02 Campus,"ODATA, an Aligned Data Centers Company","Chácaras Assay, Hortolândia",,2015.0,datacentermap+osm,declarada_datacentermap,True,True,11.41934984162404,27.496963062408263,2.3126710872044973,58.232083693947295,0.5389323148159008,33.725174899782395,32.857718910748964,0.8674559890334308,,
br-0009,BR,-23.49739806407384,-46.81541396120501,20,ODATA SP03,"ODATA, an Aligned Data Centers Company","Tamboré, Barueri",,2000.0,datacentermap+osm,declarada_datacentermap,True,True,13.266191085700761,0.0,0.0,86.73380891429925,0.0,31.006017754755167,29.79241831080208,1.2135994439530862,,
br-0010,BR,-3.7434239996938503,-38.4582846484485,10,AngoNAP Fortaleza,Angola Cables,Fortaleza,,2025.0,datacentermap+osm,declarada_datacentermap,True,True,2.0750970616408244,1.0915810308251293,3.028901821356265,90.90955861403587,2.8948614721419097,37.76780974286021,31.376515831893652,6.3912939109665565,,
