par,papel,zona,pct
everest-goiania,B,0-0.5km,2.616609783845279
everest-goiania,B,0.5-1km,1.9421172886519422
everest-goiania,B,1-2km,2.2342650694048296
everest-goiania,B,2-3km,3.0033623981307347
everest-goiania,B,3-5km,1.9555412945433803
hostdime-joao-pessoa,A,0-0.5km,1.3318534961154274
hostdime-joao-pessoa,A,0.5-1km,2.001482579688658
hostdime-joao-pessoa,A,1-2km,2.818604651162791
hostdime-joao-pessoa,A,2-3km,0.9851939424646737
hostdime-joao-pessoa,A,3-5km,1.5258993646957946
hostdime-joao-pessoa,B,0-0.5km,1.1135857461024499
hostdime-joao-pessoa,B,0.5-1km,3.718854592785422
hostdime-joao-pessoa,B,1-2km,3.1913861674265207
hostdime-joao-pessoa,B,2-3km,1.6300940438871474
hostdime-joao-pessoa,B,3-5km,0.6829340322640186
scala-sgigsm01,A,0-0.5km,1.3625366102126575
scala-sgigsm01,A,0.5-1km,1.3665492509442771
scala-sgigsm01,A,1-2km,1.868950585838003
scala-sgigsm01,A,2-3km,2.476297206604308
scala-sgigsm01,A,3-5km,1.6022350103870675
scala-sgigsm01,B,0-0.5km,0.0
scala-sgigsm01,B,0.5-1km,0.2547338031756814
scala-sgigsm01,B,1-2km,2.747882570209514
scala-sgigsm01,B,2-3km,3.3390438221639145
scala-sgigsm01,B,3-5km,2.868360672375263
scala-spoapa01,A,0-0.5km,3.9190897597977243
scala-spoapa01,A,0.5-1km,4.275554433362791
scala-spoapa01,A,1-2km,3.7924971308843194
scala-spoapa01,A,2-3km,2.9243090293567784
scala-spoapa01,A,3-5km,1.69993148940455
scala-spoapa01,B,0-0.5km,3.3780364372469633
scala-spoapa01,B,0.5-1km,3.1480466939188334
scala-spoapa01,B,1-2km,1.9339081367316215
scala-spoapa01,B,2-3km,1.8900593368678476
scala-spoapa01,B,3-5km,2.0714061429268265
scala-tambore,A,0-0.5km,0.2290950744558992
scala-tambore,A,0.5-1km,1.1450381679389312
scala-tambore,A,1-2km,0.6110951971736848
scala-tambore,A,2-3km,0.7907403162961265
scala-tambore,A,3-5km,0.6606273274133486
scala-tambore,B,0-0.5km,0.0
scala-tambore,B,0.5-1km,0.38153376573826786
scala-tambore,B,1-2km,0.7542486156196295
scala-tambore,B,2-3km,0.716168213590008
scala-tambore,B,3-5km,0.40100250626566414
