site_id,tipo,pareado_com,sensor,raio_km,ano_inicio,ano_fim,n_anos,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
angonap-fortaleza,tratamento,angonap-fortaleza,landsat,0.5,2014,2020,7,882,28,13,7,3.1746031746031744,1.473922902494331,0.7936507936507936
angonap-fortaleza,tratamento,angonap-fortaleza,landsat,1.0,2014,2020,7,3534,68,36,19,1.9241652518392756,1.0186757215619695,0.5376344086021505
angonap-fortaleza,tratamento,angonap-fortaleza,landsat,2.0,2014,2020,7,14026,257,157,67,1.8323114216455154,1.1193497789818907,0.4776843005846286
angonap-fortaleza,tratamento,angonap-fortaleza,landsat,5.0,2014,2020,7,86043,722,325,282,0.8391153260579013,0.37771811768534336,0.3277431051915903
ascenty-hortolandia,tratamento,ascenty-hortolandia,landsat,0.5,2015,2022,8,872,45,0,45,5.160550458715596,0.0,5.160550458715596
ascenty-hortolandia,tratamento,ascenty-hortolandia,landsat,1.0,2015,2022,8,3490,94,2,92,2.693409742120344,0.05730659025787966,2.6361031518624642
ascenty-hortolandia,tratamento,ascenty-hortolandia,landsat,2.0,2015,2022,8,13969,511,130,485,3.6581000787457945,0.9306321139666405,3.4719736559524663
ascenty-hortolandia,tratamento,ascenty-hortolandia,landsat,5.0,2015,2022,8,87272,3766,360,3460,4.315244293702447,0.4125034375286461,3.9646163718030984
ascenty-jundiai,tratamento,ascenty-jundiai,landsat,0.5,2016,2022,7,876,20,3,20,2.2831050228310503,0.3424657534246575,2.2831050228310503
ascenty-jundiai,tratamento,ascenty-jundiai,landsat,1.0,2016,2022,7,3473,148,48,136,4.261445436222286,1.3820904117477686,3.915922833285344
ascenty-jundiai,tratamento,ascenty-jundiai,landsat,2.0,2016,2022,7,13930,284,64,252,2.0387652548456567,0.45944005743000715,1.8090452261306533
ascenty-jundiai,tratamento,ascenty-jundiai,landsat,5.0,2016,2022,7,85985,1567,454,1013,1.8224108856195849,0.5279990696051637,1.1781124614758387
ascenty-maracanau,tratamento,ascenty-maracanau,landsat,0.5,2013,2017,5,710,44,0,38,6.197183098591549,0.0,5.352112676056338
ascenty-maracanau,tratamento,ascenty-maracanau,landsat,1.0,2013,2017,5,3352,169,2,155,5.041766109785203,0.059665871121718374,4.624105011933175
ascenty-maracanau,tratamento,ascenty-maracanau,landsat,2.0,2013,2017,5,13950,572,9,528,4.100358422939068,0.06451612903225806,3.78494623655914
ascenty-maracanau,tratamento,ascenty-maracanau,landsat,5.0,2013,2017,5,87726,2616,89,2395,2.9820121742698857,0.10145224904817272,2.7300914210154343
ascenty-osasco,tratamento,ascenty-osasco,landsat,0.5,2017,2023,7,862,12,0,12,1.3921113689095128,0.0,1.3921113689095128
ascenty-osasco,tratamento,ascenty-osasco,landsat,1.0,2017,2023,7,3480,52,13,52,1.4942528735632183,0.3735632183908046,1.4942528735632183
ascenty-osasco,tratamento,ascenty-osasco,landsat,2.0,2017,2023,7,13929,228,31,222,1.6368727116088735,0.22255725464857493,1.5937971139349558
ascenty-osasco,tratamento,ascenty-osasco,landsat,5.0,2017,2023,7,87041,858,125,735,0.9857423513057065,0.14361048241633254,0.8444296366080353
ascenty-paulinia,tratamento,ascenty-paulinia,landsat,0.5,2016,2022,7,877,84,4,80,9.578107183580387,0.45610034207525657,9.122006841505131
ascenty-paulinia,tratamento,ascenty-paulinia,landsat,1.0,2016,2022,7,3487,320,22,291,9.176942930886149,0.6309148264984227,8.34528247777459
ascenty-paulinia,tratamento,ascenty-paulinia,landsat,2.0,2016,2022,7,13973,661,47,597,4.730551778429829,0.336362985758248,4.272525585056895
ascenty-paulinia,tratamento,ascenty-paulinia,landsat,5.0,2016,2022,7,87304,2708,134,2553,3.1018051864748464,0.15348666727755889,2.924264638504536
ascenty-sumare,tratamento,ascenty-sumare,landsat,0.5,2014,2020,7,871,11,3,4,1.2629161882893227,0.34443168771526983,0.4592422502870264
ascenty-sumare,tratamento,ascenty-sumare,landsat,1.0,2014,2020,7,3491,23,3,9,0.6588370094528788,0.08593526210254941,0.2578057863076482
ascenty-sumare,tratamento,ascenty-sumare,landsat,2.0,2014,2020,7,13967,209,46,152,1.4963843345027565,0.32934774826376456,1.0882795160020047
ascenty-sumare,tratamento,ascenty-sumare,landsat,5.0,2014,2020,7,87305,1916,343,1480,2.1946051199816736,0.39287555122845197,1.6952064601111048
ascenty-vinhedo,tratamento,ascenty-vinhedo,landsat,0.5,2016,2022,7,764,35,20,31,4.5811518324607325,2.6178010471204187,4.057591623036649
ascenty-vinhedo,tratamento,ascenty-vinhedo,landsat,1.0,2016,2022,7,3390,102,40,90,3.0088495575221237,1.1799410029498525,2.6548672566371683
ascenty-vinhedo,tratamento,ascenty-vinhedo,landsat,2.0,2016,2022,7,13843,176,67,122,1.2714007079390306,0.48399913313588094,0.881311854366828
ascenty-vinhedo,tratamento,ascenty-vinhedo,landsat,5.0,2016,2022,7,87140,1616,355,1366,1.8544870323617169,0.40739040624282763,1.5675923800780354
clickip-manaus,tratamento,clickip-manaus,s2,0.5,2020,2025,6,8410,450,185,195,5.35077288941736,2.1997621878715816,2.318668252080856
clickip-manaus,tratamento,clickip-manaus,s2,1.0,2020,2025,6,33652,1374,549,649,4.082966837037917,1.6314037798644954,1.9285629383097587
clickip-manaus,tratamento,clickip-manaus,s2,2.0,2020,2025,6,134619,4860,1706,2472,3.610188754930582,1.2672802501875664,1.836293539544938
clickip-manaus,tratamento,clickip-manaus,s2,5.0,2020,2025,6,830594,19720,6762,7222,2.374204484983036,0.8141161626498626,0.8694982145308057
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,landsat,0.5,2014,2020,7,886,11,2,9,1.2415349887133182,0.22573363431151242,1.0158013544018059
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,landsat,1.0,2014,2020,7,3509,31,3,20,0.8834425762325449,0.08549444286121402,0.5699629524080935
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,landsat,2.0,2014,2020,7,14021,105,23,49,0.7488766849725412,0.16403965480350902,0.34947578632051923
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,landsat,5.0,2014,2020,7,86487,438,108,245,0.5064344930451975,0.1248742585590898,0.2832795680275648
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,landsat,0.5,2015,2022,8,874,18,0,18,2.059496567505721,0.0,2.059496567505721
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,landsat,1.0,2015,2022,8,3479,120,13,119,3.4492670307559643,0.3736705949985628,3.420523138832998
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,landsat,2.0,2015,2022,8,13800,318,24,312,2.3043478260869565,0.17391304347826086,2.260869565217391
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,landsat,5.0,2015,2022,8,87030,2075,195,1907,2.3842353211536254,0.224060668734919,2.1911984373204643
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,landsat,0.5,2016,2022,7,875,67,3,67,7.6571428571428575,0.34285714285714286,7.6571428571428575
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,landsat,1.0,2016,2022,7,3503,127,3,126,3.6254638880959176,0.08564087924636027,3.596916928347131
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,landsat,2.0,2016,2022,7,13961,387,7,382,2.7720077358355417,0.05013967480839481,2.736193682400974
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,landsat,5.0,2016,2022,7,87257,1488,118,1409,1.7053073105882623,0.13523270339342403,1.6147701617062242
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,landsat,0.5,2013,2017,5,884,1,0,1,0.11312217194570136,0.0,0.11312217194570136
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,landsat,1.0,2013,2017,5,3531,1,0,1,0.02832058906825262,0.0,0.02832058906825262
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,landsat,2.0,2013,2017,5,14117,366,54,122,2.5926188283629665,0.38251753205355243,0.8642062761209889
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,landsat,5.0,2013,2017,5,88174,3239,1162,1001,3.673418468029124,1.3178487989656815,1.1352552906752558
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,landsat,0.5,2017,2023,7,754,8,0,8,1.0610079575596818,0.0,1.0610079575596818
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,landsat,1.0,2017,2023,7,3302,37,5,30,1.1205330102967899,0.15142337976983647,0.9085402786190188
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,landsat,2.0,2017,2023,7,13535,141,23,118,1.041743627632065,0.1699298115995567,0.8718138160325083
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,landsat,5.0,2017,2023,7,84825,1551,405,1373,1.8284703801945181,0.47745358090185674,1.6186265841438254
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,landsat,0.5,2016,2022,7,871,28,0,25,3.214695752009185,0.0,2.8702640642939152
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,landsat,1.0,2016,2022,7,3498,67,1,63,1.9153802172670098,0.02858776443682104,1.8010291595197256
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,landsat,2.0,2016,2022,7,13967,208,8,190,1.4892246008448486,0.057277869263263406,1.3603493950025058
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,landsat,5.0,2016,2022,7,87313,2670,96,2568,3.0579638770858866,0.10994926299634648,2.9411427851522682
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,landsat,0.5,2014,2020,7,874,38,1,36,4.3478260869565215,0.11441647597254005,4.118993135011442
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,landsat,1.0,2014,2020,7,3485,122,15,91,3.5007173601147774,0.430416068866571,2.611190817790531
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,landsat,2.0,2014,2020,7,13980,525,98,478,3.755364806866953,0.7010014306151645,3.419170243204578
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,landsat,5.0,2014,2020,7,87320,1826,266,1690,2.091158955565735,0.30462666055886395,1.9354099862574439
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,landsat,0.5,2016,2022,7,874,15,1,12,1.7162471395881007,0.11441647597254005,1.3729977116704806
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,landsat,1.0,2016,2022,7,3489,74,1,71,2.1209515620521637,0.028661507595299514,2.0349670392662653
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,landsat,2.0,2016,2022,7,13972,188,7,175,1.3455482393358145,0.050100200400801605,1.25250501002004
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,landsat,5.0,2016,2022,7,87124,1302,126,1144,1.4944217437215923,0.1446214590698315,1.3130710252054543
ctrl-clickip-manaus-p01,controle,clickip-manaus,s2,0.5,2020,2025,6,8448,1,0,0,0.011837121212121212,0.0,0.0
ctrl-clickip-manaus-p01,controle,clickip-manaus,s2,1.0,2020,2025,6,33742,59,7,45,0.17485626222512002,0.020745658230098985,0.13336494576492205
ctrl-clickip-manaus-p01,controle,clickip-manaus,s2,2.0,2020,2025,6,134903,425,57,377,0.31504117773511336,0.04225258148447403,0.27946005648503
ctrl-clickip-manaus-p01,controle,clickip-manaus,s2,5.0,2020,2025,6,831158,1834,350,1458,0.22065600042350553,0.0421099237449438,0.17541791091465161
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,landsat,0.5,2017,2023,7,876,10,0,10,1.1415525114155252,0.0,1.1415525114155252
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,landsat,1.0,2017,2023,7,3484,30,0,30,0.8610792192881745,0.0,0.8610792192881745
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,landsat,2.0,2017,2023,7,13916,428,299,345,3.0755964357574017,2.148605921241736,2.4791606783558495
ctrl-equinix-santana-parnaiba-p01,controle,equinix-santana-parnaiba,landsat,5.0,2017,2023,7,85638,1894,847,1559,2.2116350218361007,0.9890469184240641,1.8204535369812467
ctrl-everest-goiania-p01,controle,everest-goiania,landsat,0.5,2018,2024,7,876,4,0,4,0.45662100456621,0.0,0.45662100456621
ctrl-everest-goiania-p01,controle,everest-goiania,landsat,1.0,2018,2024,7,3511,11,0,11,0.3133010538308174,0.0,0.3133010538308174
ctrl-everest-goiania-p01,controle,everest-goiania,landsat,2.0,2018,2024,7,14020,140,24,119,0.9985734664764622,0.17118402282453637,0.8487874465049928
ctrl-everest-goiania-p01,controle,everest-goiania,landsat,5.0,2018,2024,7,87668,1802,266,1573,2.0554820459004426,0.30341743851804537,1.79426928868002
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,landsat,0.5,2014,2020,7,901,12,1,11,1.3318534961154274,0.11098779134295228,1.2208657047724751
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,landsat,1.0,2014,2020,7,3599,66,1,63,1.8338427340928036,0.027785495971103084,1.7504862461794943
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,landsat,2.0,2014,2020,7,14349,369,8,353,2.5716077775454735,0.05575301414732734,2.460101749250819
ctrl-hostdime-joao-pessoa-p01,controle,hostdime-joao-pessoa,landsat,5.0,2014,2020,7,83426,1327,56,1256,1.590631218085489,0.06712535660345696,1.5055258552489632
