pareado_com,site_id,tipo,zona,raio_int_km,raio_ext_km,area_zona_ha,metodo_footprint,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,n_pixels_footprint,pct_ja_construida,pct_virou_construida_fp,pct_construida_no_fim,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
ascenty-paulinia,ascenty-paulinia,tratamento,footprint,0.0,0.0,1.5176,osm_landuse_industrial,30,5,1,5,30.0,50.0,16.67,76.67,16.666666666666668,3.3333333333333335,16.666666666666668
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,0.0,0.5,78.54,,877,84,4,80,,,,,9.578107183580387,0.45610034207525657,9.122006841505131
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,0.5,1.0,235.62,,2610,236,18,211,,,,,9.042145593869732,0.6896551724137931,8.084291187739463
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,1.0,2.0,942.48,,10486,341,25,306,,,,,3.2519549876025176,0.2384131222582491,2.918176616440969
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,0.0,0.5,78.54,,871,28,0,25,,,,,3.214695752009185,0.0,2.8702640642939152
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,0.5,1.0,235.62,,2627,39,1,38,,,,,1.48458317472402,0.03806623524933384,1.446516939474686
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,1.0,2.0,942.48,,10469,141,7,127,,,,,1.3468335084535294,0.06686407488776387,1.2131053586780016
ascenty-sumare,ascenty-sumare,tratamento,footprint,0.0,0.0,5.8209,osm_landuse_industrial,89,2,1,0,89.0,87.64,2.25,87.64,2.247191011235955,1.1235955056179776,0.0
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,0.0,0.5,78.54,,871,11,3,4,,,,,1.2629161882893227,0.34443168771526983,0.4592422502870264
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,0.5,1.0,235.62,,2620,12,0,5,,,,,0.4580152671755725,0.0,0.19083969465648856
ascenty-sumare,ascenty-sumare,tratamento,1-2km,1.0,2.0,942.48,,10476,186,43,143,,,,,1.7754868270332187,0.41046200840015273,1.365024818633066
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,0.0,0.5,78.54,,874,38,1,36,,,,,4.3478260869565215,0.11441647597254005,4.118993135011442
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,0.5,1.0,235.62,,2611,84,14,55,,,,,3.2171581769436997,0.5361930294906166,2.106472615855994
