instrumento,n_controles,n_pares_de_anos,px_validos,pct_instabilidade,pct_mediano_por_par
dynamic_world,10,58,58116058,7.20945835658709,7.2433560445548455
rf_v1.0-tuned,10,58,20753036,17.539453022680632,16.844853207756145
