campus,n_ponta,conf_min,pct_tratamento,px_tratamento,pct_controle,px_controle,excesso_pp
ascenty-sumare,1,0,7.251908396946565,2620,11.71964764458062,2611,-4.467739247634055
ascenty-sumare,1,70,1.4971927635683093,1603,3.1362007168458783,1116,-1.639007953277569
ascenty-sumare,1,85,0.0,976,0.8064516129032258,372,-0.8064516129032258
ascenty-sumare,1,95,0.0,374,0.0,42,0.0
ascenty-sumare,2,0,0.4580152671755725,2620,3.2171581769436997,2611,-2.7591429097681273
ascenty-sumare,2,70,0.0,1307,0.46511627906976744,645,-0.46511627906976744
ascenty-sumare,2,85,0.0,714,0.0,141,0.0
ascenty-sumare,2,95,0.0,251,0.0,13,0.0
ascenty-sumare,3,0,0.03816793893129771,2620,1.1872845653006512,2611,-1.1491166263693535
ascenty-sumare,3,70,0.0,1194,0.0,547,0.0
ascenty-sumare,3,85,0.0,627,0.0,105,0.0
ascenty-sumare,3,95,0.0,218,0.0,10,0.0
ascenty-vinhedo,1,0,8.606245239908606,2626,8.87189292543021,2615,-0.26564768552160345
ascenty-vinhedo,1,70,2.394106813996317,1629,2.04778156996587,1172,0.34632524403044673
ascenty-vinhedo,1,85,0.8695652173913043,1035,0.27624309392265195,362,0.5933221234686523
ascenty-vinhedo,1,95,0.0,278,0.0,22,0.0
ascenty-vinhedo,2,0,2.5514089870525516,2626,2.2562141491395793,2615,0.2951948379129723
ascenty-vinhedo,2,70,0.731528895391368,1367,0.2617801047120419,764,0.4697487906793261
ascenty-vinhedo,2,85,0.5780346820809249,692,0.0,169,0.5780346820809249
ascenty-vinhedo,2,95,0.0,102,0.0,10,0.0
ascenty-vinhedo,3,0,1.2566641279512567,2626,0.5353728489483748,2615,0.7212912790028819
ascenty-vinhedo,3,70,0.48231511254019294,1244,0.0,634,0.48231511254019294
ascenty-vinhedo,3,85,0.0,579,0.0,131,0.0
ascenty-vinhedo,3,95,0.0,53,0.0,8,0.0
clickip-manaus,1,0,11.274859361381823,25242,0.529769905906539,25294,10.745089455475284
clickip-manaus,1,70,1.5704894083272463,5476,0.0,8893,1.5704894083272463
clickip-manaus,1,85,0.06756756756756757,1480,0.0,2342,0.06756756756756757
clickip-manaus,1,95,0.0,141,0.0,60,0.0
clickip-manaus,2,0,3.660565723793677,25242,0.22930339210880052,25294,3.4312623316848767
clickip-manaus,2,70,0.14029180695847362,3564,0.0,5381,0.14029180695847362
clickip-manaus,2,85,0.0,706,0.0,997,0.0
clickip-manaus,2,95,0.0,32,0.0,5,0.0
clickip-manaus,3,0,0.9072181285159655,25242,0.07907013520993121,25294,0.8281479933060343
clickip-manaus,3,70,0.0,2673,0.0,3867,0.0
clickip-manaus,3,85,0.0,433,0.0,613,0.0
clickip-manaus,3,95,0.0,13,0.0,2,0.0
equinix-santana-parnaiba,1,0,4.285157771717959,2567,2.5690184049079754,2608,1.7161393668099834
equinix-santana-parnaiba,1,70,1.0368663594470047,1736,0.24585125998770743,1627,0.7910150994592973
equinix-santana-parnaiba,1,85,0.31201248049922,1282,0.0,944,0.31201248049922
equinix-santana-parnaiba,1,95,0.0,847,0.0,347,0.0
equinix-santana-parnaiba,2,0,2.3763147643163225,2567,0.7668711656441718,2608,1.6094435986721507
equinix-santana-parnaiba,2,70,0.6160164271047228,1461,0.16025641025641027,1248,0.4557600168483126
equinix-santana-parnaiba,2,85,0.0,883,0.0,579,0.0
equinix-santana-parnaiba,2,95,0.0,290,0.0,198,0.0
equinix-santana-parnaiba,3,0,1.1297234125438256,2567,0.3067484662576687,2608,0.8229749462861569
equinix-santana-parnaiba,3,70,0.29873039581777444,1339,0.0,890,0.29873039581777444
equinix-santana-parnaiba,3,85,0.0,803,0.0,398,0.0
equinix-santana-parnaiba,3,95,0.0,273,0.0,165,0.0
everest-goiania,1,0,6.64641093809343,2633,9.753320683111955,2635,-3.106909745018525
everest-goiania,1,70,0.922722029988466,1734,5.95939751146038,1527,-5.036675481471914
everest-goiania,1,85,0.10111223458038422,989,2.5500910746812386,549,-2.4489788401008545
everest-goiania,1,95,0.0,341,0.0,68,0.0
everest-goiania,2,0,1.139384732244588,2633,0.2656546489563567,2635,0.8737300832882313
everest-goiania,2,70,0.0,1433,0.0,1084,0.0
everest-goiania,2,85,0.0,691,0.0,234,0.0
everest-goiania,2,95,0.0,177,0.0,15,0.0
everest-goiania,3,0,0.41777440182301556,2633,0.22770398481973433,2635,0.19007041700328123
everest-goiania,3,70,0.0,1279,0.0,835,0.0
everest-goiania,3,85,0.0,595,0.0,83,0.0
everest-goiania,3,95,0.0,137,0.0,4,0.0
hostdime-joao-pessoa,1,0,10.628980891719745,2512,9.933283914010378,2698,0.6956969777093676
hostdime-joao-pessoa,1,70,2.8670721112076456,1151,3.7243947858473,537,-0.8573226746396543
hostdime-joao-pessoa,1,85,0.954653937947494,419,4.25531914893617,47,-3.3006652109886763
hostdime-joao-pessoa,1,95,0.0,40,,0,
hostdime-joao-pessoa,2,0,2.0302547770700636,2512,2.001482579688658,2698,0.028772197381405462
hostdime-joao-pessoa,2,70,0.0,813,0.0,154,0.0
hostdime-joao-pessoa,2,85,0.0,190,0.0,4,0.0
hostdime-joao-pessoa,2,95,0.0,4,,0,
hostdime-joao-pessoa,3,0,0.2786624203821656,2512,0.5189028910303929,2698,-0.2402404706482273
hostdime-joao-pessoa,3,70,0.0,669,0.0,79,0.0
hostdime-joao-pessoa,3,85,0.0,121,0.0,2,0.0
hostdime-joao-pessoa,3,95,0.0,1,,0,
scala-sgigsm01,1,0,12.834883029762663,23553,4.740482960573781,23563,8.094400069188882
scala-sgigsm01,1,70,3.234241673548032,7266,0.4652387640449438,11392,2.7690029095030884
scala-sgigsm01,1,85,0.24390243902439024,2460,0.0,5464,0.24390243902439024
scala-sgigsm01,1,95,0.0,113,0.0,248,0.0
scala-sgigsm01,2,0,4.623614826136798,23553,1.3665492509442771,23563,3.257065575192521
scala-sgigsm01,2,70,1.1406844106463878,5260,0.06370102983331564,9419,1.0769833808130722
scala-sgigsm01,2,85,0.0,1451,0.0,3726,0.0
scala-sgigsm01,2,95,0.0,15,0.0,49,0.0
scala-sgigsm01,3,0,1.2355113998216787,23553,0.3904426431269363,23563,0.8450687566947424
scala-sgigsm01,3,70,0.0,3866,0.0,8385,0.0
scala-sgigsm01,3,85,0.0,790,0.0,2813,0.0
scala-sgigsm01,3,95,0.0,2,0.0,13,0.0
scala-spoapa01,1,0,15.95959595959596,23760,16.47940074906367,23763,-0.5198047894677114
scala-spoapa01,1,70,3.545684784726281,5133,3.1412429378531073,4425,0.40444184687317364
scala-spoapa01,1,85,0.3766478342749529,1062,0.0,600,0.3766478342749529
scala-spoapa01,1,95,0.0,30,0.0,11,0.0
scala-spoapa01,2,0,4.92003367003367,23760,4.275554433362791,23763,0.6444792366708798
scala-spoapa01,2,70,0.6432748538011696,3420,0.4224894377640559,3077,0.22078541603711366
scala-spoapa01,2,85,0.0,557,0.0,343,0.0
scala-spoapa01,2,95,0.0,10,0.0,1,0.0
scala-spoapa01,3,0,0.9511784511784511,23760,0.5091949669654505,23763,0.4419834842130006
scala-spoapa01,3,70,0.0,2496,0.0,2501,0.0
scala-spoapa01,3,85,0.0,316,0.0,248,0.0
scala-spoapa01,3,95,0.0,3,,0,
scala-tambore,1,0,4.6928653185806946,2621,5.99236641221374,2620,-1.2995010936330456
scala-tambore,1,70,1.1346054667354306,1939,2.29459659511473,1351,-1.1599911283792992
scala-tambore,1,85,0.12706480304955528,1574,0.6024096385542169,664,-0.47534483550466167
scala-tambore,1,95,0.0,990,0.0,175,0.0
scala-tambore,2,0,2.7088897367417015,2621,1.1450381679389312,2620,1.5638515688027703
scala-tambore,2,70,0.4540295119182747,1762,0.9554140127388535,942,-0.5013845008205788
scala-tambore,2,85,0.0,1408,0.25252525252525254,396,-0.25252525252525254
scala-tambore,2,95,0.0,848,0.0,115,0.0
scala-tambore,3,0,1.3353681800839374,2621,0.5725190839694656,2620,0.7628490961144718
scala-tambore,3,70,0.05934718100890208,1685,0.1400560224089636,714,-0.08070884140006152
scala-tambore,3,85,0.0,1307,0.0,259,0.0
scala-tambore,3,95,0.0,686,0.0,22,0.0
exp-elea-rjo1,1,0,7.789232531500573,2619,6.360153256704981,2610,1.4290792747955914
exp-elea-rjo1,1,70,3.4229828850855744,1227,0.9565857247976454,1359,2.466397160287929
exp-elea-rjo1,1,85,0.3184713375796178,628,0.0,825,0.3184713375796178
exp-elea-rjo1,1,95,0.0,303,0.0,372,0.0
exp-elea-rjo1,2,0,2.940053455517373,2619,0.45977011494252873,2610,2.4802833405748443
exp-elea-rjo1,2,70,0.0,912,0.0,1032,0.0
exp-elea-rjo1,2,85,0.0,471,0.0,550,0.0
exp-elea-rjo1,2,95,0.0,81,0.0,174,0.0
exp-elea-rjo1,3,0,1.2600229095074456,2619,0.0,2610,1.2600229095074456
exp-elea-rjo1,3,70,0.0,746,0.0,923,0.0
exp-elea-rjo1,3,85,0.0,254,0.0,457,0.0
exp-elea-rjo1,3,95,0.0,19,0.0,109,0.0
exp-asap-sp1,1,0,4.481041746457296,2611,2.402745995423341,2622,2.0782957510339553
exp-asap-sp1,1,70,1.0515247108307044,1902,0.2578427159432746,2327,0.7936819948874299
exp-asap-sp1,1,85,0.14914243102162567,1341,0.0,2027,0.14914243102162567
exp-asap-sp1,1,95,0.0,617,0.0,1390,0.0
exp-asap-sp1,2,0,0.995787054768288,2611,0.8390541571319603,2622,0.1567328976363277
exp-asap-sp1,2,70,0.0,1674,0.0,2205,0.0
