campus,site_id,tipo,zona,procedencia,sensor,footprint_excluido,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2608,19,0,18,0.7285276073619632,0.0,0.6901840490797546
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,1-2km,validado_5_camadas,landsat,False,10432,176,152,113,1.687116564417178,1.4570552147239264,1.0832055214723926
everest-goiania,everest-goiania,tratamento,0-0.5km,validado_5_camadas,landsat,False,876,23,7,12,2.625570776255708,0.7990867579908676,1.36986301369863
everest-goiania,everest-goiania,tratamento,0.5-1km,validado_5_camadas,landsat,False,2633,84,26,43,3.190277250284846,0.9874667679453095,1.6331181162172428
everest-goiania,everest-goiania,tratamento,1-2km,validado_5_camadas,landsat,False,10516,379,90,247,3.604031951312286,0.8558387219475085,2.3488018257892733
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,validado_5_camadas,landsat,False,876,1,0,1,0.1141552511415525,0.0,0.1141552511415525
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2635,6,1,6,0.22770398481973433,0.03795066413662239,0.22770398481973433
everest-goiania,ctrl-everest-goiania-p01,controle,1-2km,validado_5_camadas,landsat,False,10509,240,115,90,2.2837567799029403,1.0943001237034922,0.8564087924636026
scala-sgigsm01,scala-sgigsm01,tratamento,0-0.5km,validado_5_camadas,s2,True,7493,386,140,51,5.15147470972908,1.86841051648205,0.6806352595756039
scala-sgigsm01,scala-sgigsm01,tratamento,0.5-1km,validado_5_camadas,s2,True,23488,1545,773,135,6.577826975476839,3.291042234332425,0.5747615803814714
scala-sgigsm01,scala-sgigsm01,tratamento,1-2km,validado_5_camadas,s2,False,94247,2554,1249,715,2.7099005803898266,1.3252411217333178,0.758644837501459
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0-0.5km,validado_5_camadas,s2,False,7853,67,27,22,0.8531771297593277,0.34381764930599773,0.2801477142493315
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,0.5-1km,validado_5_camadas,s2,False,23563,194,43,89,0.8233247039850613,0.18248949624411154,0.3777108178075797
scala-sgigsm01,ctrl-scala-sgigsm01-p01,controle,1-2km,validado_5_camadas,s2,False,94224,989,223,463,1.0496264221429785,0.2366700628290032,0.4913822380709798
scala-spoapa01,scala-spoapa01,tratamento,0-0.5km,validado_5_camadas,s2,True,7897,167,54,7,2.1147271115613524,0.6838039761934912,0.08864125617323033
scala-spoapa01,scala-spoapa01,tratamento,0.5-1km,validado_5_camadas,s2,False,23760,475,194,21,1.9991582491582491,0.8164983164983165,0.08838383838383838
scala-spoapa01,scala-spoapa01,tratamento,1-2km,validado_5_camadas,s2,False,94999,1399,457,267,1.4726470804955842,0.48105769534416154,0.28105559005884273
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0-0.5km,validado_5_camadas,s2,False,7910,39,18,3,0.49304677623261695,0.22756005056890014,0.03792667509481669
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,0.5-1km,validado_5_camadas,s2,False,23763,238,54,73,1.0015570424609688,0.22724403484408534,0.30720026932626354
scala-spoapa01,ctrl-scala-spoapa01-p01,controle,1-2km,validado_5_camadas,s2,False,94977,811,205,241,0.8538909420175411,0.21584173010307758,0.25374564368215463
scala-tambore,scala-tambore,tratamento,0-0.5km,validado_5_camadas,landsat,True,831,29,4,20,3.489771359807461,0.4813477737665463,2.406738868832732
scala-tambore,scala-tambore,tratamento,0.5-1km,validado_5_camadas,landsat,False,2621,67,11,38,2.5562762304463944,0.41968714231209464,1.4498283098054179
scala-tambore,scala-tambore,tratamento,1-2km,validado_5_camadas,landsat,False,10450,168,36,83,1.6076555023923444,0.3444976076555024,0.7942583732057417
scala-tambore,ctrl-scala-tambore-p01,controle,0-0.5km,validado_5_camadas,landsat,False,873,5,0,4,0.572737686139748,0.0,0.4581901489117984
scala-tambore,ctrl-scala-tambore-p01,controle,0.5-1km,validado_5_camadas,landsat,False,2620,24,2,18,0.916030534351145,0.07633587786259542,0.6870229007633588
scala-tambore,ctrl-scala-tambore-p01,controle,1-2km,validado_5_camadas,landsat,False,10473,53,9,37,0.5060632101594577,0.08593526210254941,0.3532894108660365
