site_id,nome,municipio,uf,lat,lon,n_predios_no_campus,ano_operacional,ano_inicio_obra,sensor_da_janela,dist_ao_site_validado_mais_proximo_km,procedencia,elegivel,motivo_exclusao
exp-ascenty---sumare-sum3,Ascenty - Sumare SUM3,Sumaré,,-22.8139696,-47.2115227,6,2017,2016,landsat,1.17,datacentermap,False,já é um dos 16 sites validados
exp-hostdime-brazil--joao-pessoa,HostDime Brazil (João Pessoa),João Pessoa,Paraiba,-7.115262,-34.880473,1,2017,2016,landsat,2.61,datacentermap,False,já é um dos 16 sites validados
exp-ascenty---paulinia-pln1,Ascenty - Paulinia PLN1,Paulínia,,-22.7970795,-47.1352301,1,2019,2018,landsat,0.08,datacentermap,False,já é um dos 16 sites validados
exp-adentro-dc-porto-alegre,Adentro DC Porto Alegre,Porto Alegre,Rio Grande do Sul,-30.0134047,-51.2010249,7,2023,2022,landsat,1.21,datacentermap,False,já é um dos 16 sites validados
exp-cirion-cur1,Cirion CUR1,Curitiba,Paraná,-25.4703512,-49.3502146,2,2025,2024,,336.85,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-local-dc-campinas,Local DC Campinas,Campinas,,-22.9050824,-47.0613327,2,2025,2024,,12.12,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-nicnet---cravinhos---data-center,NICNET - Cravinhos - Data Center,Cravinhos,São Paulo,-21.3374876,-47.7344121,1,2025,2024,,171.78,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-tecto-mega-lobster,Tecto Mega Lobster,Fortaleza,,-3.754739812813852,-38.44731951896043,1,2025,2024,,2.8,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,,-3.735294671531065,-38.46167526644695,7,2026,2025,,0.12,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-parks-data-center-cachoeirinha,Parks Data Center Cachoeirinha,Cachoeirinha,,-29.93029341315945,-51.10729266012558,1,2026,2025,,11.9,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-serpro-brasilia,Serpro Brasilia,Brasília,,-15.7111079,-47.9107354,1,2026,2025,,178.73,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-tecto-tpoa1,Tecto TPOA1,Porto Alegre,,-29.9956142,-51.119042,1,2026,2025,,7.66,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-tsdata-eugenio-de-melo,TSData Eugênio de Melo,São José dos Campos,,-23.1510828,-45.7828613,1,2026,2025,,108.39,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-pecem-data-center,Pecém Data Center,São Gonçalo do Amarante,,-3.653321,-38.8251428,1,2027,2026,,30.87,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-edge-connection---cps01,Edge Connection - CPS01,Campinas,Sao Paulo,-22.8148445,-47.0287932,3,2027,2026,,11.01,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-elea-bel1,Elea BEL1,Belém,,-1.41264568658525,-48.48808399344105,1,2027,2026,,1129.49,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-scala-data-centers-svcpjd01,Scala Data Centers SVCPJD01,Jundiaí,,-23.1735048799678,-46.97770403686705,2,2027,2026,,2.05,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-takoda-sumare-campus,TAKODA Sumaré Campus,Sumaré,,-22.86322251584453,-47.28033038868878,4,2027,2026,,8.79,datacentermap,False,obra recente demais — ainda não há período pós-obra
exp-riverhook-village-18-campus,RiverHook Village 18 Campus,Pindamonhangaba,,-22.912227,-45.413716,3,2029,2028,,153.55,datacentermap,False,obra recente demais — ainda não há período pós-obra
