site_id,municipio,uf,codigo_ibge,ano,populacao,tipo_estimativa,fonte,data_extracao
ascenty-osasco,Osasco,SP,3534401,2020,699944,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2021,701428,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2022,728615,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2024,756952,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-osasco,Osasco,SP,3534401,2025,759524,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2016,100128,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2017,102499,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2018,106776,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2019,109424,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2020,112003,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2021,114508,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2022,110537,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2024,115690,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-paulinia,Paulínia,SP,3536505,2025,116674,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2016,269522,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2017,273007,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2018,278571,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2019,282441,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2020,286211,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2021,289875,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2022,279545,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2024,289787,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-sumare,Sumaré,SP,3552403,2025,291116,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2016,73855,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2017,75129,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2018,77308,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2019,78728,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2020,80111,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2021,81516,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2022,76540,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2024,79235,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
ascenty-vinhedo,Vinhedo,SP,3556701,2025,79089,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2016,2094391,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2017,2130264,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2018,2145444,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2019,2182763,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2020,2219580,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2021,2255903,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
