site_id,municipio,uf,eixo,rotulo,efeito_liquido,unidade,score_0_100,selo_do_eixo,tipo_sitio,qualidade_par,ano_inicio_obra,sensor
ascenty-vinhedo,Vinhedo,SP,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",2.038,p.p.,71.4,forte,greenfield,aceitavel,2019,landsat
clickip-manaus,Manaus,AM,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",2.145,p.p.,78.6,forte,greenfield,ruim,2023,s2
equinix-santana-parnaiba,Santana de Parnaíba,SP,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",1.171,p.p.,64.3,forte,greenfield,ruim,2020,landsat
everest-goiania,Goiânia,GO,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",,p.p.,,forte,,ruim,2021,landsat
hostdime-joao-pessoa,João Pessoa,PB,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",0.676,p.p.,57.1,forte,brownfield,ruim,2017,landsat
scala-sgigsm01,São João de Meriti,RJ,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",0.222,p.p.,35.7,forte,brownfield,ruim,2022,s2
scala-spoapa01,Porto Alegre,RS,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",0.0,p.p.,28.6,forte,greenfield,ruim,2023,s2
scala-tambore,Barueri,SP,vegetacao_0_500m,"Vegetação convertida em construída, anel 0–500 m",2.298,p.p.,85.7,forte,brownfield,ruim,2021,landsat
angonap-fortaleza,Fortaleza,CE,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",-1.427,°C,8.3,nulo_amostra_pequena,greenfield,aceitavel,2017,landsat
ascenty-hortolandia,Hortolândia,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",0.42,°C,50.0,nulo_amostra_pequena,greenfield,bom,2018,landsat
ascenty-jundiai,Jundiaí,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",-1.097,°C,16.7,nulo_amostra_pequena,brownfield,bom,2019,landsat
ascenty-maracanau,Maracanaú,CE,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",1.298,°C,91.7,nulo_amostra_pequena,,ruim,2014,landsat
