estrategia,n,cobertura_faixa_15_85,cobertura_nominal,largura_mediana_pp,leitura,recomendada
condicionada_no_tipo_de_sitio,13,0.462,0.7,4.824,condicionar estreita a faixa em só +0.34 p.p. e DERRUBA a cobertura para 46% (nominal 70%) — faixa estreita demais para o que ela afirma; não use,False
classe_unica,13,0.615,0.7,5.163,cobertura 62% contra nominal 70% — calibrada; é esta que deve ser usada,True
