site_id,municipio,uf,codigo_ibge,ano,emprego_formal_total,pessoal_ocupado_total,numero_empresas,fonte,data_extracao
ascenty-maracanau,Maracanaú,CE,2307650,2019,60691,64490,3515,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2020,60589,64856,3764,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2021,61622,66202,3988,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2022,62628,70298,6650,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2023,69058,76953,7021,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-maracanau,Maracanaú,CE,2307650,2024,69510,77819,7357,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2016,157538,177943,16072,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2017,156613,176694,16133,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2018,158207,177863,15878,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2019,161102,181906,18330,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2020,158995,180746,18952,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2021,178496,201049,20631,"IBGE - SIDRA tabela 1685 (CEMPRE (serie encerrada em 2021)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2022,191047,232878,38468,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2023,209469,253872,40717,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
ascenty-osasco,Osasco,SP,3534401,2024,223756,269480,41851,"IBGE - SIDRA tabela 9509 (CEMPRE (metodologia atual)), variavel 708 'Pessoal ocupado assalariado'",2026-09-03
