pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2015,-3,False,2611,33.7802
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2016,-2,False,2611,31.4822
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2017,-1,False,2610,35.4789
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2018,0,False,2605,35.8925
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2019,1,False,2611,29.8736
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2020,2,False,2610,29.387
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2021,3,False,2610,48.5441
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,0.5-1km,landsat,2022,4,False,2611,32.7078
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2015,-3,False,10491,24.2589
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2016,-2,False,10432,22.4502
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2017,-1,False,10480,26.7844
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2018,0,False,10329,22.2868
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2019,1,False,10490,21.4204
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2020,2,False,10488,19.632
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2021,3,False,10488,32.3799
ascenty-hortolandia,ctrl-ascenty-hortolandia-p01,controle,1-2km,landsat,2022,4,False,10491,23.6107
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2015,-3,True,693,63.4921
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2016,-2,True,693,66.3781
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2017,-1,True,693,65.6566
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2018,0,True,693,70.7071
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2019,1,True,693,70.1299
