site_id,site_id_controle,posicao_final_rf,lat,lon,dist_ao_tratamento_km,l1_mapbiomas,l1_rf,qualidade_rf,municipio,uf,metodo_municipio,escolhido
ascenty-sumare,ctrl-ascenty-sumare-p04,5,-22.68039,-46.984079,28.0,0.493112,0.547032,ruim,Jaguariúna,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,1,-22.817167,-47.011893,28.0,0.273312,0.131596,aceitavel,Campinas,SP,municipio_vizinho_microrregiao_ibge,True
ascenty-vinhedo,ctrl-ascenty-vinhedo-p01,2,-22.895553,-46.961441,20.0,0.249694,0.236028,ruim,Campinas,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-vinhedo,ctrl-ascenty-vinhedo-p04,3,-22.708806,-47.011893,40.0,0.336807,0.263263,ruim,Jaguariúna,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-vinhedo,ctrl-ascenty-vinhedo-p03,4,-22.721082,-46.911119,40.0,0.299146,0.292849,ruim,Pedreira,SP,municipio_vizinho_microrregiao_ibge,False
ascenty-vinhedo,ctrl-ascenty-vinhedo-p05,5,-22.997708,-47.147045,16.0,0.359831,0.332861,ruim,Campinas,SP,municipio_vizinho_microrregiao_ibge,False
clickip-manaus,ctrl-clickip-manaus-p01,1,-3.200229,-60.239135,32.0,1.726069,1.369247,ruim,Iranduba,AM,municipio_vizinho_microrregiao_ibge,True
clickip-manaus,ctrl-clickip-manaus-p02,2,-2.838521,-59.989801,24.0,1.732993,1.375366,ruim,Manaus,AM,mesmo_municipio,False
clickip-manaus,ctrl-clickip-manaus-p05,3,-2.776032,-60.064288,32.0,1.739511,1.387735,ruim,Manaus,AM,mesmo_municipio,False
clickip-manaus,ctrl-clickip-manaus-p04,4,-3.306173,-60.133769,32.0,1.73918,1.431718,ruim,Iranduba,AM,municipio_vizinho_microrregiao_ibge,False
clickip-manaus,ctrl-clickip-manaus-p03,5,-3.055542,-60.205702,24.0,1.7355,1.622617,ruim,Manaus,AM,mesmo_municipio,False
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,1,-23.315899,-46.859912,16.0,0.610836,0.541542,ruim,Cajamar,SP,municipio_vizinho_microrregiao_ibge,True
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p02,2,-23.422904,-47.011133,16.0,0.780574,0.637518,ruim,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,False
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p03,3,-23.369983,-47.029321,20.0,0.831598,0.697681,ruim,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,False
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p04,4,-23.332613,-46.998195,20.0,1.114178,1.013441,ruim,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,False
everest-goiania,ctrl-everest-goiania-p01,1,-16.781817,-49.399659,20.0,1.090066,0.8661,ruim,Goiânia,GO,mesmo_municipio,True
everest-goiania,ctrl-everest-goiania-p02,2,-16.538107,-49.396175,24.0,1.1596,0.957678,ruim,Goianira,GO,municipio_vizinho_microrregiao_ibge,False
everest-goiania,ctrl-everest-goiania-p03,3,-16.691434,-49.049676,20.0,1.497283,1.226286,ruim,Senador Canedo,GO,municipio_vizinho_microrregiao_ibge,False
