campus,site_id,tipo,zona,r_int,r_ext,pixels_validos,pct_virou_construida
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,0.5,1.0,2610,9.042145593869732
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,1.0,2.0,10486,3.2519549876025176
ascenty-paulinia,ascenty-paulinia,tratamento,2-3km,2.0,3.0,17465,2.67391926710564
ascenty-paulinia,ascenty-paulinia,tratamento,3-5km,3.0,5.0,55866,2.828196040525543
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,0.0,0.5,871,3.214695752009185
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,0.5,1.0,2627,1.48458317472402
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1-2km,1.0,2.0,10469,1.3468335084535294
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,2-3km,2.0,3.0,17466,2.215733424939883
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,3-5km,3.0,5.0,55880,3.7133142448103076
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,0.0,0.5,871,1.2629161882893227
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,0.5,1.0,2620,0.4580152671755725
ascenty-sumare,ascenty-sumare,tratamento,1-2km,1.0,2.0,10476,1.7754868270332187
ascenty-sumare,ascenty-sumare,tratamento,2-3km,2.0,3.0,17462,2.256328026571985
ascenty-sumare,ascenty-sumare,tratamento,3-5km,3.0,5.0,55876,2.349846087765767
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,0.0,0.5,874,4.3478260869565215
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,0.5,1.0,2611,3.2171581769436997
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,1-2km,1.0,2.0,10495,3.8399237732253453
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,2-3km,2.0,3.0,17462,1.0250830374527546
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,3-5km,3.0,5.0,55878,2.00794588210029
